seed,model,memory,context,self_state,relation,macro_clean,macro_noisy,robustness_retention,encode_ms_per_sample,feature_dim,trainable_readout_parameters
0,attention,1.0,0.928,0.716,1.0,0.911,0.776,0.8518111964873765,0.08042211199995108,192,3667
0,nd_state,1.0,0.828,0.724,1.0,0.8879999999999999,0.811,0.9132882882882885,1.65329103199997,192,3667
0,nd_l2_feedback,1.0,0.864,0.712,1.0,0.8939999999999999,0.85,0.9507829977628636,4.891215515999875,192,3667
1,attention,1.0,0.932,0.704,1.0,0.909,0.765,0.8415841584158416,0.06375744400020267,192,3667
1,nd_state,1.0,0.82,0.704,1.0,0.881,0.8250000000000001,0.9364358683314417,1.489046063999922,192,3667
1,nd_l2_feedback,1.0,0.84,0.732,1.0,0.893,0.851,0.9529675251959686,4.796335995999925,192,3667
2,attention,1.0,0.92,0.728,1.0,0.9119999999999999,0.729,0.799342105263158,0.06198975600000267,192,3667
2,nd_state,1.0,0.824,0.752,1.0,0.8939999999999999,0.807,0.9026845637583895,1.5418947080002,192,3667
2,nd_l2_feedback,1.0,0.872,0.74,1.0,0.903,0.854,0.945736434108527,4.642299267999988,192,3667
3,attention,1.0,0.96,0.764,1.0,0.931,0.789,0.8474758324382384,0.06457714799989844,192,3667
3,nd_state,1.0,0.836,0.772,1.0,0.9019999999999999,0.8160000000000001,0.9046563192904657,1.432755559999805,192,3667
3,nd_l2_feedback,1.0,0.848,0.784,1.0,0.9079999999999999,0.872,0.9603524229074891,4.9531267520001165,192,3667
4,attention,1.0,0.956,0.712,1.0,0.917,0.76,0.8287895310796074,0.07984294400012004,192,3667
4,nd_state,1.0,0.888,0.692,1.0,0.895,0.803,0.8972067039106145,1.556270535999829,192,3667
4,nd_l2_feedback,1.0,0.868,0.692,1.0,0.8899999999999999,0.848,0.9528089887640451,4.743597116000274,192,3667
