seed,model,memory,context,self_state,relation,macro_clean,macro_noisy,robustness_retention,encode_ms_per_sample,feature_dim,trainable_readout_parameters,trainable_internal_parameters
0,attention,1.0,0.928,0.716,1.0,0.911,0.776,0.8518111964873765,0.06469473200013454,192,3667,0
0,nd_state,1.0,0.828,0.724,1.0,0.8879999999999999,0.811,0.9132882882882885,1.4568685639987962,192,3667,0
0,nd_l2_feedback,1.0,0.864,0.712,1.0,0.8939999999999999,0.85,0.9507829977628636,4.682721172001038,192,3667,0
0,nd_l2_gated,1.0,1.0,0.728,1.0,0.9319999999999999,0.9169999999999999,0.9839055793991416,5.628721636001501,192,3667,6
0,nd_l2_virtual,1.0,1.0,0.728,1.0,0.9319999999999999,0.9169999999999999,0.9839055793991416,0.13210129199978837,192,3667,6
1,attention,1.0,0.932,0.704,1.0,0.909,0.765,0.8415841584158416,0.06055334799930279,192,3667,0
1,nd_state,1.0,0.82,0.704,1.0,0.881,0.8250000000000001,0.9364358683314417,1.5032307359997503,192,3667,0
1,nd_l2_feedback,1.0,0.84,0.732,1.0,0.893,0.851,0.9529675251959686,4.833994247999726,192,3667,0
1,nd_l2_gated,1.0,1.0,0.708,1.0,0.927,0.91,0.9816612729234089,5.637256072001037,192,3667,6
1,nd_l2_virtual,1.0,1.0,0.708,1.0,0.927,0.91,0.9816612729234089,0.12472682000043278,192,3667,6
2,attention,1.0,0.92,0.728,1.0,0.9119999999999999,0.729,0.799342105263158,0.06144405200029723,192,3667,0
2,nd_state,1.0,0.824,0.752,1.0,0.8939999999999999,0.807,0.9026845637583895,1.4190891359994566,192,3667,0
2,nd_l2_feedback,1.0,0.872,0.74,1.0,0.903,0.854,0.945736434108527,4.721883788000923,192,3667,0
2,nd_l2_gated,1.0,1.0,0.7,1.0,0.925,0.9199999999999999,0.9945945945945944,5.514767427999686,192,3667,6
2,nd_l2_virtual,1.0,1.0,0.7,1.0,0.925,0.9199999999999999,0.9945945945945944,0.12879246000011335,192,3667,6
3,attention,1.0,0.96,0.764,1.0,0.931,0.789,0.8474758324382384,0.08101279999937105,192,3667,0
3,nd_state,1.0,0.836,0.772,1.0,0.9019999999999999,0.8160000000000001,0.9046563192904657,1.440408340000431,192,3667,0
3,nd_l2_feedback,1.0,0.848,0.784,1.0,0.9079999999999999,0.872,0.9603524229074891,4.737065367999094,192,3667,0
3,nd_l2_gated,1.0,1.0,0.796,1.0,0.9490000000000001,0.9369999999999999,0.9873551106427817,5.611845480001648,192,3667,6
3,nd_l2_virtual,1.0,1.0,0.796,1.0,0.9490000000000001,0.9369999999999999,0.9873551106427817,0.12777884800016182,192,3667,6
4,attention,1.0,0.956,0.712,1.0,0.917,0.76,0.8287895310796074,0.06170595199910167,192,3667,0
4,nd_state,1.0,0.888,0.692,1.0,0.895,0.803,0.8972067039106145,1.5092651840004692,192,3667,0
4,nd_l2_feedback,1.0,0.868,0.692,1.0,0.8899999999999999,0.848,0.9528089887640451,4.799494663999212,192,3667,0
4,nd_l2_gated,1.0,1.0,0.692,1.0,0.923,0.914,0.9902491874322861,5.663788335999925,192,3667,6
4,nd_l2_virtual,1.0,1.0,0.692,1.0,0.923,0.914,0.9902491874322861,0.12507424800060107,192,3667,6
